12010194,Outside 98,Furniss Avenue,53.3229521,-1.5375896,Rowan sp,Decay,Swedish Whitebeam 'Brouwers'
12019821,Outside 131,Furniss Avenue,53.3233797,-1.5394465,Kanzan Cherry,Decay,Hawthorn
12019803,Outside 12,Furniss Avenue,53.3203137,-1.5316318,Kanzan Cherry,Senescent,Hawthorn
12013582,Outside 11,Heather Lea Avenue,53.3296349,-1.543839,Swedish Whitebeam,Structural Integrity,Canadian Crab
12019733,Outside 53,Heather Lea Avenue,53.3295865,-1.5486462,Kanzan Cherry,Structural Integrity,Canadian Crab
12019731,Outside 43,Heather Lea Avenue,53.3295237,-1.5476494,Kanzan Cherry,Structural Integrity,Canadian Crab
12019729,Outside 10/12,Heather Lea Avenue,53.3296379,-1.5437664,Swedish Whitebeam,Structural Integrity,Canadian Crab
12009545,Opposite 25,Kerwin Road,53.331974,-1.5480786,Rowan sp,Senescent,Canadian Crab
12019723,Outside 19,Kerwin Road,53.3318326,-1.5471622,Kanzan Cherry,Senescent,Canadian Crab
12019725,Outside 17,Kerwin Road,53.331808,-1.546946,Rowan sp,Senescent,Canadian Crab
12019727,Outside 2 (lowermost 1 of 2 trees Outside 2),Kerwin Road,53.3317473,-1.5451014,Rowan sp,Structural Integrity,Canadian Crab
12019841,Outside 21,King Ecgbert Road,53.3199356,-1.5310584,Kanzan Cherry,Damage to Surface,Mountain Ash
12019844,Outside 38 (opposite 37),King Ecgbert Road,53.32008,-1.5323071,Kanzan Cherry,Damage to Surface,Mountain Ash
12019848,Outside 49,King Ecgbert Road,53.3198666,-1.5331967,Kanzan Cherry,Structural Integrity,Mountain Ash
12019846,Outside 63,King Ecgbert Road,53.320125,-1.5343801,Kanzan Cherry,Damage to Surface,Mountain Ash
12019654,Outside 29-31,Marstone Crescent,53.3176851,-1.529275,Kanzan Cherry,Structural Integrity,Hawthorn
12019660,Outside 75,Marstone Crescent,53.3174012,-1.5263132,Apple species,Structural Integrity,Hawthorn
12019662,Outside 77,Marstone Crescent,53.3173354,-1.5261967,Kanzan Cherry,Structural Integrity,Hawthorn
12019666,Outside 6,Marstone Crescent,53.3169737,-1.5296445,Kanzan Cherry,Damage to Surface,Hawthorn
12019650,Outside 23,Marstone Crescent,53.3176878,-1.5296397,Kanzan Cherry,Structural Integrity,Hawthorn
12019656,Outside 43,Marstone Crescent,53.3177425,-1.528371,Kanzan Cherry,Structural Integrity,Hawthorn
12019648,Outside 5,Marstone Crescent,53.3169993,-1.5297241,Kanzan Cherry,Damage to Surface,Hawthorn
12019664,Outside 69,Marstone Crescent,53.3178064,-1.526783,Kanzan Cherry,Damage to Surface,Hawthorn
12019658,Outside 30,Marstone Crescent,53.3176787,-1.5281345,Kanzan Cherry,Damage to Surface,Hawthorn
12019652,outside 14,Marstone Crescent,53.3174469,-1.5294578,Cherry,Failure,Hawthorn
12019735,Outside 29,Newfield Crescent,53.3283214,-1.5475364,Kanzan Cherry,Structural Integrity,Cherry
12009310,Outside 4,Newfield Crescent,53.3290101,-1.546385,Rowan,Structural Integrity,Cherry
12019769,Outside 17,Old Hay Close,53.3216463,-1.5409837,Kanzan Cherry,Damage to Surface,Hawthorn
12019773,Outside 76,Old Hay Close,53.3226145,-1.5400669,Apple species,Structural Integrity,Not Known
12019767,Outside 9 (opp 36),Old Hay Close,53.3217462,-1.5423706,Kanzan Cherry,Damage to Surface,Hawthorn
12008872,Outside 34,Old Hay Close,53.3222914,-1.5401505,Kanzan Cherry,Structural Integrity,Hawthorn
12019771,Outside 33,Old Hay Close,53.3222152,-1.5401913,Kanzan Cherry,Damage to Surface,Hawthorn
12019775,Outside 78,Old Hay Close,53.3225123,-1.5402611,Apple species,Damage to Surface,Hawthorn
12019777,Outside 26,Old Hay Close,53.3219515,-1.5405636,Kanzan Cherry,Damage to Surface,Hawthorn
12019779,Outside 1,Old Hay Close,53.3218545,-1.5425186,Kanzan Cherry,Structural Integrity,Hawthorn
12019781,"Side of 3 Old Hay Lane, ON Old Hay Close",Old Hay Close,53.321752,-1.5423998,Kanzan Cherry,Structural Integrity,Hawthorn
12019739,Outside 11,Rushley Close,53.3301775,-1.5412915,Kanzan Cherry,Damage to Surface,Canadian Crab
12019741,Outside 12,Rushley Close,53.3302749,-1.5411167,Swedish Whitebeam,Damage to Surface,Canadian Crab
12019737,Side of 89 Rushley Rd,Rushley Close,53.3304425,-1.5414665,Cherry species,Damage to Surface,Canadian Crab
12019743,Outside 11-13,Rushley Drive,53.3292808,-1.5387774,Kanzan Cherry,Damage to Surface,Canadian Crab
12019671,Outside 25-27,Stonecroft Road,53.3171618,-1.5276427,Rowan sp,Structural Integrity,Hawthorn
12019676,Outside 37-39,Stonecroft Road,53.3174576,-1.5270196,Rowan sp,Structural Integrity,Hawthorn
12019678,"Side of 44 Marstone Cres, tree on Stonecroft Road",Stonecroft Road,53.3174663,-1.5266074,Apple species,Decay,Hawthorn
12019680,"Side of 42 Marstone Cres, tree on Stonecroft Road",Stonecroft Road,53.3174755,-1.5266174,Kanzan Cherry,Structural Integrity,Hawthorn
12019943,Outside 26,The Grove,53.3163333,-1.5372715,Kanzan Cherry,Damage to Surface,Canadian Crab
12019945,Outside 60,The Grove,53.3160115,-1.5405707,Common Ash,Damage to Surface,Canadian Crab
12019941,Outside 2,The Grove,53.316244,-1.5348975,Kanzan Cherry,Damage to Surface,Canadian Crab
